Ontology ID	label	parent class	occurs in
OPL:0000177	Schistosoma haematobium lifecycle stage	parasite lifecycle stage	
OPL:0000197	Schistosoma haematobium schistosomulum stage	schistomulum stage	
OPL:0000212	Schistosoma haematobium mother sporocyst stage	mother sporocyst stage	
OPL:0000228	Schistosoma haematobium adult male worm stage	adult male parasitic worm stage	
OPL:0000234	Schistosoma haematobium adult female worm stage	adult female parasitic worm stage	
OPL:0000308	Schistosoma haematobium adult worm stage	adult parasitic worm stage	
OPL:0000009	Schistosoma japonicum cercaria stage	cercaria stage	
OPL:0000023	Schistosoma japonicum miracidium stage	miracidium stage	
OPL:0000071	Schistosoma japonicum worm stage	parasitic worm stage	
OPL:0000072	Schistosoma japonicum egg stage	egg stage	
OPL:0000118	Schistosoma japonicum schistosomulum stage	schistomulum stage	
OPL:0000156	Schistosoma japonicum lifecycle stage	parasite lifecycle stage	
OPL:0000184	Schistosoma japonicum mother sporocyst stage	mother sporocyst stage	
OPL:0000186	Schistosoma japonicum sporocyst stage	sporocyst stage	
OPL:0000224	Schistosoma japonicum adult female worm stage	adult female parasitic worm stage	
OPL:0000225	Schistosoma japonicum adult male worm stage	adult male parasitic worm stage	
OPL:0000309	Schistosoma japonicum adult worm stage	adult parasitic worm stage	
OPL:0000041	Schistosoma mansoni sporocyst stage	sporocyst stage	
OPL:0000100	Schistosoma mansoni schistosomulum stage	schistomulum stage	
OPL:0000112	Schistosoma mansoni miracidium stage	miracidium stage	
OPL:0000135	Schistosoma mansoni egg stage	egg stage	
OPL:0000142	Schistosoma mansoni mother sporocyst stage	mother sporocyst stage	
OPL:0000203	Schistosoma mansoni lifecycle stage	parasite lifecycle stage	
OPL:0000210	Schistosoma mansoni cercaria stage	cercaria stage	
OPL:0000211	Schistosoma mansoni worm stage	parasitic worm stage	
OPL:0000230	Schistosoma mansoni adult male worm stage	adult male parasitic worm stage	
OPL:0000236	Schistosoma mansoni adult female worm stage	adult female parasitic worm stage	
OPL:0000319	Schistosoma mansoni adult worm stage	adult parasitic worm stage	
OPL:0000033	trypomastigote stage	parasite lifecycle stage	
OPL:0000048	Trypanosoma brucei lifecycle stage	parasite lifecycle stage	
OPL:0000185	Trypanosoma cruzi lifecycle stage	parasite lifecycle stage	
OPL:0000322	Trypanosomatida metacyclic stage	parasite lifecycle stage	
OPL:0000151	promastigote stage	parasite lifecycle stage	
OPL:0000006	metacyclic promastigote stage	promastigote stage	
OPL:0000149	metacyclic trypomastigote stage	trypomastigote stage	
OPL:0000028	macrogametocyte stage	gametocyte stage	
OPL:0000143	microgametocyte stage	gametocyte stage	
OPL:0000214	mother sporocyst stage	sporocyst stage	
OPL:0000256	oocyst-derived sporozoite stage	sporozoite stage	
OPL:0000172	24 hour schistosomulum stage	schistomulum stage	
OPL:0000221	3 day schistosomulum stage	schistomulum stage	
OPL:0000017	3 hour schistosomulum stage	schistomulum stage	
OPL:0000183	3 week parasitic worm stage	parasitic worm stage	
OPL:0000066	6 day schistosomulum stage	schistomulum stage	
OPL:0000148	7 week parasitic worm stage	parasitic worm stage	
OPL:0000127	adult female parasitic worm stage	adult parasitic worm stage	
OPL:0000239	adult male parasitic worm stage	adult parasitic worm stage	
OPL:0000237	adult parasitic worm stage	parasitic worm stage	
OPL:0000022	bloodstream trypomastigote stage	trypomastigote stage	
OPL:0000086	daughter sporocyst stage	sporocyst stage	
OPL:0000180	egg stage	life cycle stage	
OPL:0000248	erythrocytic merozoite stage	merozoite stage	
OPL:0000140	erythrocytic ring trophozoite stage	erythrocytic trophozoite stage	
OPL:0000078	erythrocytic schizont stage	schizont stage	
OPL:0000119	exflagellated microgametocyte stage	microgametocyte stage	
OPL:0000260	gamete stage	life cycle stage	
OPL:0000150	gametocyte stage	life cycle stage	
OPL:0000059	hepatic schizont stage	schizont stage	
OPL:0000324	bradyzoite stage	parasite lifecycle stage	
OPL:0000325	tachyzoite stage	parasite lifecycle stage	
