Ontology ID	label	logical type	parent class	in taxon	occurs in	has part	realizes
OPL:0000071	Schistosoma japonicum worm stage	equivalent	parasitic worm stage	Schistosoma japonicum			
OPL:0000072	Schistosoma japonicum egg stage	equivalent	egg stage	Schistosoma japonicum			
OPL:0000118	Schistosoma japonicum schistosomulum stage	equivalent	schistomulum stage	Schistosoma japonicum			
OPL:0000156	Schistosoma japonicum lifecycle stage	equivalent	parasite lifecycle stage	Schistosoma japonicum			
OPL:0000184	Schistosoma japonicum mother sporocyst stage	equivalent	mother sporocyst stage	Schistosoma japonicum			
OPL:0000186	Schistosoma japonicum sporocyst stage	equivalent	sporocyst stage	Schistosoma japonicum			
OPL:0000224	Schistosoma japonicum adult female worm stage	equivalent	adult female parasitic worm stage	Schistosoma japonicum			
OPL:0000225	Schistosoma japonicum adult male worm stage	equivalent	adult male parasitic worm stage	Schistosoma japonicum			
OPL:0000309	Schistosoma japonicum adult worm stage	equivalent	adult parasitic worm stage	Schistosoma japonicum			
OPL:0000041	Schistosoma mansoni sporocyst stage	equivalent	sporocyst stage	Schistosoma mansoni			
OPL:0000100	Schistosoma mansoni schistosomulum stage	equivalent	schistomulum stage	Schistosoma mansoni			
OPL:0000112	Schistosoma mansoni miracidium stage	equivalent	miracidium stage	Schistosoma mansoni			
OPL:0000135	Schistosoma mansoni egg stage	equivalent	egg stage	Schistosoma mansoni			
OPL:0000142	Schistosoma mansoni mother sporocyst stage	equivalent	mother sporocyst stage	Schistosoma mansoni			
OPL:0000203	Schistosoma mansoni lifecycle stage	equivalent	parasite lifecycle stage	Schistosoma mansoni			
OPL:0000210	Schistosoma mansoni cercaria stage	equivalent	cercaria stage	Schistosoma mansoni			
OPL:0000211	Schistosoma mansoni worm stage	equivalent	parasitic worm stage	Schistosoma mansoni			
OPL:0000230	Schistosoma mansoni adult male worm stage	equivalent	adult male parasitic worm stage	Schistosoma mansoni			
OPL:0000236	Schistosoma mansoni adult female worm stage	equivalent	adult female parasitic worm stage	Schistosoma mansoni			
OPL:0000319	Schistosoma mansoni adult worm stage	equivalent	adult parasitic worm stage	Schistosoma mansoni			
OPL:0000033	trypomastigote stage	subclass	parasite lifecycle stage	Trypanosoma			
OPL:0000048	Trypanosoma brucei lifecycle stage	equivalent	parasite lifecycle stage	Trypanosoma brucei			
OPL:0000185	Trypanosoma cruzi lifecycle stage	equivalent	parasite lifecycle stage	Trypanosoma cruzi			
OPL:0000322	Trypanosomatida metacyclic stage	equivalent	parasite lifecycle stage	Trypanosomatidae			infectious agent role
OPL:0000151	promastigote stage	subclass	parasite lifecycle stage	Trypanosomatidae			
OPL:0000006	metacyclic promastigote stage	subclass	promastigote stage				infectious agent role
OPL:0000149	metacyclic trypomastigote stage	subclass	trypomastigote stage				infectious agent role
OPL:0000028	macrogametocyte stage	subclass	gametocyte stage				
OPL:0000143	microgametocyte stage	subclass	gametocyte stage				
OPL:0000214	mother sporocyst stage	subclass	sporocyst stage				
OPL:0000256	oocyst-derived sporozoite stage	subclass	sporozoite stage				
OPL:0000172	24 hour schistosomulum stage	subclass	schistomulum stage				
OPL:0000221	3 day schistosomulum stage	subclass	schistomulum stage				
OPL:0000017	3 hour schistosomulum stage	subclass	schistomulum stage				
OPL:0000183	3 week parasitic worm stage	subclass	parasitic worm stage				
OPL:0000066	6 day schistosomulum stage	subclass	schistomulum stage				
OPL:0000148	7 week parasitic worm stage	subclass	parasitic worm stage				
OPL:0000127	adult female parasitic worm stage	subclass	adult parasitic worm stage				
OPL:0000239	adult male parasitic worm stage	subclass	adult parasitic worm stage				
OPL:0000237	adult parasitic worm stage	subclass	parasitic worm stage				
OPL:0000022	bloodstream trypomastigote stage	subclass	trypomastigote stage				
OPL:0000086	daughter sporocyst stage	subclass	sporocyst stage				
OPL:0000180	egg stage	subclass	life cycle stage				
OPL:0000248	erythrocytic merozoite stage	subclass	merozoite stage				
OPL:0000140	erythrocytic ring trophozoite stage	subclass	erythrocytic trophozoite stage				
OPL:0000078	erythrocytic schizont stage	subclass	schizont stage				
OPL:0000119	exflagellated microgametocyte stage	subclass	microgametocyte stage				
OPL:0000260	gamete stage	subclass	life cycle stage				
OPL:0000150	gametocyte stage	subclass	life cycle stage				
OPL:0000059	hepatic schizont stage	subclass	schizont stage				
OPL:0000324	bradyzoite stage	subclass	parasite lifecycle stage				
OPL:0000325	tachyzoite stage	subclass	parasite lifecycle stage				
OPL:0000347	Plasmodium vivax ookinete stage	equivalent	ookinete stage	Plasmodium vivax	Anopheles midgut		
OPL:0000348	Plasmodium vivax sporozoite stage	equivalent	sporozoite stage	Plasmodium vivax	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte		
OPL:0000349	Plasmodium vivax merozoite stage	equivalent	merozoite stage	Plasmodium vivax	Homo sapiens erythrocyte		
OPL:0000350	Plasmodium vivax gametocyte stage	equivalent	gametocyte stage	Plasmodium vivax	Anopheles midgut|Homo sapiens erythrocyte		
OPL:0000351	Plasmodium berghei sporazoite stage	equivalent	sporozoite stage	Plasmodium berghei	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte		
OPL:0000352	Plasmodium berghei meorzoite stage	equivalent	merozoite stage	Plasmodium berghei	Homo sapiens erythrocyte		
OPL:0000353	Neospora caninum tachyzoite stage	equivalent	tachyzoite stage	Neospora caninum	Canis		
OPL:0000354	Eimeria maxima gametocyte stage	equivalent	gametocyte stage	Eimeria maxima	Gallus gallus erythrocyte		
OPL:0000355	Eimeria tenella sprozoite stage	equivalent	sporozoite stage	Eimeria tenella	Gallus gallus intestine		
OPL:0000356	Eimeria tenella oocyst stage	equivalent	oocyst stage	Eimeria tenella	Gallus gallus midgut		
OPL:0000357	Sarcocystis neurona merozoite stage	equivalent	merozoite stage	Sarcocystis neurona	Canis lupus familiaris erythrocyte		
OPL:0000358	Sarcocystis neurona sporozoite stage	equivalent	sporozoite stage	Sarcocystis neurona	Mammalia muscle tissue		
OPL:0000359	Toxoplasma gondii tachyzoite stage	equivalent	tachyzoite stage	Toxoplasma gondii	Mammalia		
OPL:0000360	Toxoplasma gondii bradyzoite stage	equivalent	bradyzoite stage	Toxoplasma gondii	Triatominae		
OPL:0000361	Toxoplasma gondii oocysts stage	equivalent	oocyst stage	Toxoplasma gondii	Triatominae midgut		
OPL:0000362	Leishmania amazonensis promastigote stage	equivalent	promastigote stage	Leishmania amazonensis	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis		
OPL:0000363	Leishmania amazonensis amastigote stage	equivalent	amastigote stage	Leishmania amazonensis	Mammalia macrophage		
OPL:0000364	Leishmania donovani promastigote stage	equivalent	promastigote stage	Leishmania donovani	Homo sapiens macrophage|Phlebotominae midgut|Phlebotominae proboscis		
OPL:0000365	Leishmania donovani amastigote stage	equivalent	amastigote stage	Leishmania donovani	Homo sapiens macrophage		
OPL:0000366	Leishmania infantum promastigote stage	equivalent	promastigote stage	Leishmania infantum	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis		
OPL:0000367	Leishmania infantum amastigote stage	equivalent	amastigote stage	Leishmania infantum	Mammalia macrophage		
OPL:0000374	Plasmodium vivax lifecycle stage	equivalent	parasite lifecycle stage	Plasmodium vivax			
OPL:0000375	Plasmodium berghei lifecycle stage	equivalent	parasite lifecycle stage	Plasmodium berghei			
OPL:0000376	Neospora caninum lifecycle stage	equivalent	parasite lifecycle stage	Neospora caninum			
OPL:0000377	Eimeria maxima lifecycle stage	equivalent	parasite lifecycle stage	Eimeria maxima			
OPL:0000378	Eimeria tenella lifecycle stage	equivalent	parasite lifecycle stage	Eimeria tenella			
OPL:0000379	Sarcocystis neurona lifecycle stage	equivalent	parasite lifecycle stage	Sarcocystis neurona			
OPL:0000380	Toxoplasma gondii lifecycle stage	equivalent	parasite lifecycle stage	Toxoplasma gondii			
OPL:0000381	Leishmania amazonensis lifecycle stage	equivalent	parasite lifecycle stage	Leishmania amazonensis			
OPL:0000382	Leishmania donovani lifecycle stage	equivalent	parasite lifecycle stage	Leishmania donovani			
OPL:0000383	Leishmania infantum lifecycle stage	equivalent	parasite lifecycle stage	Leishmania infantum			
