ID,LABEL,alternative term,Type,SubClass Of,Equivalent Class,occurs in,located in,participates in,has part,only in taxon,realizes,part of,has role,has host,has vector,definition,definition source,example of usage,term editor,term tracker item,ontology term requester,comment,editor note
OPL:0000064,Trypanosoma cruzi amastigote stage,T. cruzi amastigote stage,Class,'occurs in' some 'Mammalia macrophage','amastigote stage' and ('only in taxon' some 'Trypanosoma cruzi'),Mammalia macrophage,,,,Trypanosoma cruzi,,,,,,An amastigote stage in the lifecycle of Trypanosoma cruzi that occurs in mammalian hosts.,,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000065,obsolete_has host,,Object property,,,,,,,,,,,,,A relation between an organism and an organism that has host role.,,,,,,,
OPL:0000066,6 day schistosomulum stage,,Class,schistomulum stage,,,,,,,,,,,,A schistosomulum stage that occurs in 6 days after infection of the mammalian host.,PMID:19885392,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000067,Schistosoma mansoni 3 hour schistosomulum,S. mansoni 3hour schistosomulum,Class,'located in' some 'Mammalia skin'|'participates in' only 'Schistosoma mansoni 3 hour schistosomulum stage'|Schistosoma mansoni schistosomulum,,,Mammalia skin,Schistosoma mansoni 3 hour schistosomulum stage,,,,,,,,"A Schistosoma mansoni schistosomulum in a migratory larval formi that is found within blood vessels of the definitive host, mammal, 3 hours post-infection.",,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000068,Plasmodium falciparum macrogametocyte stage,P. falciparum macrogametocyte stage,Class,'occurs in' some 'Anopheles midgut'|'occurs in' some 'Homo sapiens erythrocyte','macrogametocyte stage' and ('only in taxon' some 'Plasmodium falciparum'),Anopheles midgut|Homo sapiens erythrocyte,,,,Plasmodium falciparum,,,,,,A macrogametocyte stage in the Plasmodium falciparum lifecycle that occurs either in the bloodstream of a human host or the midgut of a mosquito vector.,,,C. Janse|Chris Stoeckert|Jie Zheng|P. Parkh|S. Khan,,,,gametocytes are mainly found in the blood
OPL:0000069,Schistosoma haematobium miracidium stage,S. haematobium miracidium stage,Class,,'miracidium stage' and ('only in taxon' some 'Schistosoma haematobium'),,,,,Schistosoma haematobium,,,,,,A miracidium stage in the Schistosoma haematobium lifecycle that occurs in the intermediate snail host.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000070,cercaria stage,,Class,'only in taxon' some 'parasite organism'|parasite lifecycle stage,,,,,,parasite organism,,,,,,"A parasite lifecycle stage that is a free-living larval stage of Digenea, developed within the germinal cells of the sporocyst or redia. A cercaria has a tapering head with large penetration glands. It may or may not have a long swimming ""tail"", depending on the species. The motile cercaria finds and settles in a host where it will become either an adult, or a mesocercaria, or a metacercaria, according to species.",Wikipedia: Trematode lifecycle stages,,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
OPL:0000071,Schistosoma japonicum worm stage,S. japonicum worm stage,Class,,'parasitic worm stage' and ('only in taxon' some 'Schistosoma japonicum'),,,,,Schistosoma japonicum,,,,,,A worm stage of Schistosoma japonicum that is fully developed mature form and found in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammalian host.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000072,Schistosoma japonicum egg stage,S. japonicum egg stage,Class,,'egg stage' and ('only in taxon' some 'Schistosoma japonicum'),,,,,Schistosoma japonicum,,,,,,An egg stage in the lifecycle of Schistosoma japonicum that occurs in the mammalian host.,,,Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng,,,,
OPL:0000073,oocyst stage,,Class,'only in taxon' some 'parasite organism'|parasite lifecycle stage,,,,,,parasite organism,,,,,,A parasite lifecycle stage of sporozoa consisting of a zygote enclosed by cyst wall.,"Mosby's Medical Dictionary, 8th edition. � 2009, Elsevier. (http://medical-dictionary.thefreedictionary.com/oocyst)",,Chris Stoeckert|Jie Zheng|Priti Parikh,,,,
